Ellas Kitchen Veggie Risotto with Cheese,10.50,AED
Holle 3-Grain Porridge (250g),21.25,AED
Holle Apple with Strawberries (90g),7.75,AED
"Holle Apple, Peach & Fruits (90g)",7.75,AED
Holle Baby Mini Rusks Pouch(100g),15.50,AED
Holle Baby Muesli Porridge (250g),22.50,AED
"Holle Banana, Apple, Mango & Apricot Pouch (90g)",7.75,AED
"Holle Carrot, Mango, Banana & Pear Pouch (90g)",7.75,AED
Holle Fruit Bar Apple & Banana (25g),6.25,AED
Holle Fruit Bar Apple & Pear (25g),6.25,AED
Holle Fruit Porridge Banana-Semolina (250g),22.50,AED
Holle Infant Goat Milk Follow-on Formula 2 (400g),95.75,AED
Holle Junior Muesli Multigrain with Cornflakes (250g),95.75,AED
Holle Junior Muesli Multigrain with Fruit (250g),22.50,AED
Holle Milk Cereal with Bananas (250g),22.50,AED
Holle Milk Cereal with Spelt (250g),19.75,AED
Holle Oats Porridge (250g),19.75,AED
"Holle Pear, Apple & Blueberry with Oats Pouch (90g)",19.75,AED
Holle Pouch Apple & Banana with Pear (90g),7.75,AED
Holle Pouches Pear & Banana with Kiwi (90g),7.75,AED
Holle Rice Porridge (250g),7.75,AED
Holle Semolina Porridge (250g),21.25,AED
Holle Spelt Biscuits (150g),19.75,AED
Holle Spelt Porridge (250g),19.75,AED
Holle Vegetable Porridge Pumpkin Maize Rice (175g),21.25,AED
Organix Apple & Orange Bars (180g),22.50,AED
Ellas Kitchen Melty Puffs Carrots & Parsnip (20g),28.50,AED
Ellas Kitchen Bananas + Coconuts (120g),5.25,AED
Ellas Kitchen Cheese + Leek Crunchy Wheels (4x15g),7.75,AED
Ellas Kitchen Carrot + Lentil Crunchy Sticks (15g),8.75,AED
Ellas Kitchen Carrot Multigrain Baby Rice (125g),17.50,AED
Ellas Kitchen Strawberry + Raspberry Porridge (175g),25.00,AED
Ellas Kitchen Banana + Cinnamon Muesli (215g),26.00,AED
Ellas Kitchen Banana Multigrain Baby Rice (125g),17.50,AED
Ellas Kitchen Butternut Squash Carrots Apples+Prunes (120g),8.00,AED
Hipp Vegetable & Turkey Casserole (125g),8.00,AED
Hipp Puree Of Apples Blueberries & Rice (125g),6.75,AED
Hipp Apple & Banana Dessert (125g),6.75,AED
"Earth’s Best Bananas, Peaches & Raspberries – Stage 2 (113g)",6.75,AED
Earth’s Best Apples & Plums – Stage 2 (113g),6.50,AED
Holle Spelt Baby Rusks (200g),27.50,AED
"Hipp Apple, Strawberry & Banana (4x90g)",30.00,AED
"Hipp Mango, Apple & Peach (4x90g)",30.00,AED
"Hipp Banana, Pear & Mango (4x90g)",30.00,AED
"Hipp Peach, Apple, Blueberry & Raspberry (4x90g)",30.00,AED
Hipp Vegetable with Rice & Chicken (125g),8.00,AED
Hipp Hearty Cottage Pie (190g),13.85,AED
Hipp Spaghetti Bolognese (190g),13.85,AED
Hipp Pancakes With Apple Sauce (200g),10.50,AED
Hipp Creamed Porridge Breakfast (125g),6.75,AED
Hipp Rigatoni Napoli (250g),11.25,AED
Hipp Sweet Parsnip & Potato Puree (125g),6.75,AED
Hipp Tasty Vegetable Risotto (125g),6.25,AED
Hipp Fine Green Beans & Potatoes (125g),6.25,AED
Organix Cheese Stars (20g),7.00,AED
Organix Baby Biscuit Creamy Vanilla (54g),14.50,AED
Organix Baby Biscuit Banana (54g),14.50,AED
Ellas Kitchen Sweet Potato Sweet Potato Sweet Potato (70g),8.00,AED
Ellas Kitchen Wakey Wakey Banana Porridge (150g),20.75,AED
Ellas Kitchen Strawberry Yummy Yoghurt Greek Style (90g),9.00,AED
